"UNIQUE_REFERENCE_NUMBER"|"NAME"|"POINTX_CLASSIFICATION_CODE"|"FEATURE_EASTING"|"FEATURE_NORTHING"|"POSITIONAL_ACCURACY_CODE"|"UPRN"|"TOPOGRAPHIC_TOID"|"TOPOGRAPHIC_TOID_VERSION"|"ITN_EASTING"|"ITN_NORTHING"|"ITN_TOID"|"ITN_TOID_VERSION"|"DISTANCE"|"ADDRESS_DETAIL"|"STREET_NAME"|"LOCALITY"|"GEOGRAPHIC_COUNTY"|"POSTCODE"|"VERIFIED_ADDRESS"|"ADMINISTRATIVE_BOUNDARY"|"TELEPHONE_NUMBER"|"URL"|"BRAND"|"QUALIFIER_TYPE"|"QUALIFIER_DATA"|"PROVENANCE"|"DATE_OF_SUPPLY"
91394724|"Boulter Bowen"|"02090147"|292398.8|92319.9|1|""|"1000002070301836"|4|292414.4|92322.5|"4000000025321094"|"3"|15.8|"1 Charlotte Mews"|"Pavilion Place"|"Exeter"|"Devon"|"EX2 4HA"|"Y"|"Exeter District"|"01392432211"|"www.boulterbowen.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
91362352|"New Devon Media Ltd"|"02080127"|292255.6|92589.5|1|""|"0001000012317732"|4|292235|92544.8|"4000000025460691"|"1"|49.2|"14"|"Cathedral Close"|"Exeter"|"Devon"|"EX1 1HA"|"Y"|"Exeter District"|"01392422287"|""|""|""|""|"118 Information"|"01-DEC-2014"
104540979|"Swinton Insurance"|"02090149"|291394.2|92124.5|1|""|"0001000012292506"|4|291403.3|92138.1|"4000000025320940"|"8"|16.4|"25"|"Okehampton Street"|"Exeter"|"Devon"|"EX4 1DY"|"Y"|"Exeter District"|"08724358870"|"www.swinton.co.uk"|"Swinton"|""|""|"118 Information"|"01-DEC-2014"
104575032|"Colmer Ecology Ltd"|"02040063"|292463.8|92510.5|1|""|"1000002070820482"|6|292431.7|92514.1|"4000000025336059"|"4"|32.2|"The Senate"|"Southernhay Gardens"|"Exeter"|"Devon"|"EX1 1UG"|"Y"|"Exeter District"|"01392758325"|"www.colmer-ecology.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
108289608|"St Leonard's Cars Exeter"|"09490696"|292780|92381.1|1|""|"1000002062235948"|2|292780.8|92374|"4000000025321104"|"4"|7.1|"61-63"|"Magdalen Road"|"Exeter"|"Devon"|"EX2 4TA"|"Y"|"Exeter District"|"01392666759"|"www.stleonardscarsexeter.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
108293242|"Toot Grook"|"09480717"|291927.2|92813.8|1|""|"0001000012290433"|3|291937.2|92820.7|"4000000025321006"|"4"|12.1|"19"|"Queen Street"|"Exeter"|"Devon"|"EX4 3SH"|"Y"|"Exeter District"|"01392201660"|""|""|""|""|"118 Information"|"01-DEC-2014"
108346565|"The Back Pain Clinic"|"07370478"|291592.1|93093.4|1|""|"0001000012294209"|3|291589.5|93080.3|"4000000025321013"|"4"|13.4|"2"|"Queens Terrace"|"Exeter"|"Devon"|"EX4 4HR"|"Y"|"Exeter District"|"01392272512"|"www.thebackpainclinic.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
109077395|"Costa Coffee"|"01020013"|292283.6|92902.7|1|""|"0001000012318253"|6|292299|92873|"4000000025295481"|"8"|33.5|"252"|"High Street"|"Exeter"|"Devon"|"EX4 3PZ"|"Y"|"Exeter District"|"01392439872"|"www.costa.co.uk"|"Costa"|""|""|"118 Information"|"01-DEC-2014"
123123026|"Specialist Subject Records"|"02080131"|291993.8|92802.5|1|""|"0001000012290448"|5|292000.4|92807|"4000000025321252"|"5"|8|"14"|"Gandy Street"|"Exeter"|"Devon"|"EX4 3LS"|"Y"|"Exeter District"|"01392425069"|"www.specialistsubjectrecords.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
55427652|"Pond"|"03580803"|291741|92525|1|""|"1000002062007515"|6|291756.5|92556.7|"4000000025458607"|"1"|35.3|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"Area in sq m"|"49"|"Ordnance Survey"|"01-DEC-2014"
63999723|"Electricity Sub Station"|"06340433"|292569|93327|2|""|"Not Assigned"|0|292555.7|93305.5|"4000000025321290"|"4"|25.3|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
63999748|"Electricity Sub Station"|"06340433"|292702|93071|2|""|"Not Assigned"|0|292693|93080|"4000000025306118"|"3"|12.7|""|""|""|"Devon"|"EX1"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
64066433|"Electricity Sub Station"|"06340433"|292587|92139|2|""|"Not Assigned"|0|292591.8|92143.5|"4000000025336083"|"5"|6.6|""|""|""|"Devon"|"EX2"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
68568482|"Letter Box"|"06340457"|292702|93615|1|""|"1000002062252493"|4|292698.3|93618.1|"4000000025321318"|"3"|4.8|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
66664373|"Swimming Pool"|"04240304"|292173|93880|1|""|"1000002062256094"|1|292191.7|93896.9|"5000005105559474"|"1"|25.2|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
76265186|"St Bartholomew's Cemetery"|"06340454"|291586|92554|2|""|"Not Assigned"|0|291559.5|92580.5|"4000000025295465"|"9"|37.5|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
95261275|"Streets Cafe"|"01020013"|291821.9|92389.8|1|""|"0001000012291595"|5|291791.1|92416|"4000000025320943"|"5"|40.5|"7-8 City Arcade"|"Fore Street"|"Exeter"|"Devon"|"EX4 3JE"|"Y"|"Exeter District"|""|""|""|""|""|"Local Data Company"|"01-DEC-2014"
102645270|"Rock Bottom"|"09460656"|292007.5|92776.5|1|""|"0001000012318037"|5|292017.3|92785.2|"4000000025321252"|"5"|13.1|"11"|"Gandy Street"|"Exeter"|"Devon"|"EX4 3LS"|"Y"|"Exeter District"|""|""|""|""|""|"Local Data Company"|"01-DEC-2014"
111300628|"No Guts No Glory"|"09480678"|291708.8|92336|1|""|"0001000012292190"|6|291719.6|92327.4|"4000000025320942"|"6"|13.8|"137"|"Fore Street"|"Exeter"|"Devon"|"EX4 3AN"|"Y"|"Exeter District"|""|""|""|""|""|"Local Data Company"|"01-DEC-2014"
16154036|"Public Telephone"|"06340460"|292555|92354|1|""|"Not Assigned"|0|292557.4|92343.2|"4000000025306057"|"6"|11|"Magdalen Road"|""|"Exeter"|"Devon"|"EX2 4TT"|"N"|"Exeter District"|"01392434166"|""|""|""|""|"UK Payphone Directory"|"01-DEC-2014"
16154097|"Public Telephone"|"06340460"|291962|93898|3|""|"Not Assigned"|0|291962.5|93897.9|"5000005114430743"|"1"|0.5|"Prince Of Wales Road"|""|"Exeter"|"Devon"|"EX4 4PL"|"N"|"Exeter District"|"01392439505"|""|""|""|""|"UK Payphone Directory"|"01-DEC-2014"
16154189|"Public Telephone"|"06340460"|292152.9|93952.7|1|""|"Not Assigned"|0|292200.3|93928.9|"5000005105559474"|"1"|53.1|"University Of Exeter"|"St Germans Road (Cornwall House)-Top Landing"|"Exeter"|"Devon"|"EX4 6TG"|"N"|"Exeter District"|"01392495421"|""|""|""|""|"UK Payphone Directory"|"01-DEC-2014"
16153854|"Public Telephone"|"06340460"|291446|93528|1|""|"Not Assigned"|0|291436.5|93521.7|"4000000025306022"|"4"|11.4|"Junction Of Prince Of Wales Road &New North Road"|""|"Exeter"|"Devon"|"EX4 4HH"|"N"|"Exeter District"|"01392274926"|""|""|""|""|"UK Payphone Directory"|"01-DEC-2014"
16153735|"Public Telephone"|"06340460"|292473|92852|1|""|"Not Assigned"|0|292476.2|92827.8|"4000000025321219"|"3"|24.4|"Coach Station"|"Paris Street"|"Exeter"|"Devon"|"EX1 2JJ"|"N"|"Exeter District"|"01392257410"|""|""|""|""|"UK Payphone Directory"|"01-DEC-2014"
16431172|"Barnfield Hill Surgery"|"05280369"|292816.9|92640.4|1|""|"0001000012317122"|3|292822.2|92621.9|"4000000025306067"|"6"|19.3|"10-12"|"Barnfield Hill"|"Exeter"|"Devon"|"EX1 1SR"|"Y"|"Exeter District"|"01392432761"|""|""|""|""|"Beechwood House Publishing Ltd"|"01-DEC-2014"
17784451|"Flagstaff"|"03170245"|291646|93719|2|""|"Not Assigned"|0|291650.4|93724|"4000000025306027"|"9"|6.7|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
18341845|"War Memorial"|"03170245"|291991|92567|1|""|"1000002062007942"|3|291975.8|92580|"4000000025447581"|"4"|20|""|""|""|"Devon"|"EX1"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
18793143|"Sculpture"|"03170245"|291729|93858|2|""|"Not Assigned"|0|291739.4|93859.4|"5000005114430771"|"1"|10.5|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"Ordnance Survey"|"01-DEC-2014"
20127258|"Guildhall"|"03170244"|291980|92640|1|""|"0001000012290839"|3|291984.5|92635|"4000000025460692"|"1"|6.7|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|""|""|"PointX"|"01-DEC-2014"
33250244|"Cash Machine (HSBC Bank plc)"|"02090141"|291343.3|92024.4|1|""|"Not Assigned"|0|291337.1|92034|"4000000025439405"|"1"|11.4|"9"|"St. Thomas Centre"|"Exeter"|"Devon"|"EX4 1DG"|"Y"|"Exeter District"|""|""|""|"Public Accessibility"|"Through the wall with 24 hour accessibility, opens onto public throughfare"|"VocaLink"|"01-DEC-2014"
108272663|"Cash Machine (Lloyds TSB Bank plc)"|"02090141"|291912.6|92752.8|1|""|"Not Assigned"|0|291898.8|92768.5|"4000000025429246"|"2"|20.9|"34-35"|"Guildhall Shopping Centre"|"Exeter"|"Devon"|"EX4 3NJ"|"Y"|"Exeter District"|""|""|""|"Public Accessibility"|"Through the wall with 24 hour accessibility, opens onto public throughfare"|"VocaLink"|"01-DEC-2014"
113026331|"Cash Machine (Alliance & Leicester Group)"|"02090141"|292006|92635|1|""|"Not Assigned"|0|291996.3|92645.7|"4000000025460692"|"1"|14.4|"53"|"High Street"|"Exeter"|"Devon"|"EX4 4HE"|"Y"|"Exeter District"|""|""|""|"Public Accessibility"|"ATM inside a location that is accessible in office hours and into the evening, including branch lobby"|"VocaLink"|"01-DEC-2014"
21841076|"Fore Street"|"10590732"|291878|92519|1|""|"Not Assigned"|0|291877.9|92519|"4000000025320939"|"3"|0.1|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmgpg"|"Department for Transport"|"01-DEC-2014"
21842571|"Bonhay Road"|"10590732"|291401|92792|1|""|"Not Assigned"|0|291396.8|92791.2|"4000000025288017"|"5"|4.3|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmdgw"|"Department for Transport"|"01-DEC-2014"
21842653|"Queen Street"|"10590732"|291975|92775|1|""|"Not Assigned"|0|291973.4|92773.7|"4000000025321251"|"4"|2.1|""|""|""|"Devon"|"EX4"|"N"|"Exeter District"|""|""|""|"SMS Number"|"dvndmgwd"|"Department for Transport"|"01-DEC-2014"
44146356|"Orange Tree"|"09480717"|292238|92629|1|""|"1000002070802041"|6|292237.7|92614.6|"4000000025439407"|"3"|14.4|"30"|"Bedford Street"|"Princesshay, Exeter"|"Devon"|"EX1 1GJ"|"Y"|"Exeter District"|"01392876688"|""|""|""|""|"PointX"|"01-DEC-2014"
44146371|"Exeshed"|"02090135"|292191|92659|1|""|"1000002070862925"|1|292180.5|92647.8|"4000000025439407"|"3"|15.3|"18"|"Bedford Street"|"Princesshay Square, Exeter"|"Devon"|"EX1 1GJ"|"Y"|"Exeter District"|"01392420070"|""|""|""|""|"PointX"|"01-DEC-2014"
43531198|"St David's Church of England Primary School"|"05310375"|291571.4|92758|1|""|"0001000012290616"|9|291605.7|92734.2|"4000000025321015"|"5"|41.8|""|"Dinham Road"|"Exeter"|"Devon"|"EX4 4EE"|"Y"|"Exeter District"|"01392255569"|"www.stdavidsprimary.devon.sch.uk"|""|""|""|"Edubase"|"01-DEC-2014"
41263534|"Magdalen Road (Fairpark)"|"10540736"|292540|92436|1|""|"1000002062221367"|8|292500.2|92372.3|"4000000025353482"|"6"|75.2|"Magdalen Road"|""|"Exeter"|"Devon"|"EX2 4SU"|"N"|"Exeter District"|""|""|""|""|""|"Department for Transport (Parking)"|"01-DEC-2014"
41263542|"Magdalen Street"|"10540736"|292240|92267|1|""|"1000002062244003"|5|292238.8|92285.9|"4000000025321077"|"4"|19|"Magdalen Street"|""|"Exeter"|"Devon"|"EX2 4HZ"|"N"|"Exeter District"|""|""|""|""|""|"Department for Transport (Parking)"|"01-DEC-2014"
107699358|"Wi-Fi Hotspot (O2 Limited)"|"06340802"|292043.5|92656.9|1|""|"0001000012317812"|5|292029.8|92673.5|"4000000025460692"|"1"|21.5|"43-45"|"High Street"|"Exeter"|"Devon"|"EX4 3DJ"|"Y"|"Exeter District"|""|""|""|""|""|"O2 Limited"|"01-DEC-2014"
47953478|"Oakcliffe Hotel"|"01010006"|291381.7|93144.5|1|""|"0001000012294813"|4|291400|93155|"4000000025335975"|"3"|21.1|"73"|"St. Davids Hill"|"Exeter"|"Devon"|"EX4 4DW"|"Y"|"Exeter District"|"01392258288"|"www.oakcliffehotel.com"|""|""|""|"118 Information"|"01-DEC-2014"
47966181|"Abode Exeter at the Royal Clarence Hotel"|"01010006"|292070.1|92657.3|1|""|"0001000012317794"|7|292080.2|92633.9|"4000000025447581"|"4"|25.4|""|"Cathedral Yard"|"Exeter"|"Devon"|"EX1 1HD"|"Y"|"Exeter District"|"01392319955"|"www.abodeexeter.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
48014022|"Fish Supper House"|"01020020"|291196.8|92225.3|1|""|"0001000012292571"|4|291203.8|92243.6|"4000000025335820"|"6"|19.6|"17"|"Okehampton Road"|"Exeter"|"Devon"|"EX4 1EB"|"Y"|"Exeter District"|"01392272432"|""|""|""|""|"118 Information"|"01-DEC-2014"
48086000|"Red Rose"|"01020018"|291843.9|92611.5|1|""|"1000002070862550"|2|291849.7|92617.1|"4000000025305983"|"8"|8|"13-14"|"North Street"|"Exeter"|"Devon"|"EX4 3QS"|"Y"|"Exeter District"|"01392427620"|"www.redrose-exeter.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
48089280|"Mount Radford"|"01020034"|292812.4|92402|1|""|"0001000012318607"|4|292814.8|92377.5|"4000000025321104"|"4"|24.6|"73-75"|"Magdalen Road"|"Exeter"|"Devon"|"EX2 4TA"|"Y"|"Exeter District"|"01392258221"|""|""|""|""|"118 Information"|"01-DEC-2014"
48068886|"The King Billy"|"01020034"|292315|92954.1|1|""|"0001000012318223"|5|292299.5|92957.3|"4000000025321221"|"5"|15.9|"26-28"|"Longbrook Street"|"Exeter"|"Devon"|"EX4 6AE"|"Y"|"Exeter District"|"01392259598"|""|""|""|""|"118 Information"|"01-DEC-2014"
47981610|"Mango's"|"01020013"|292070|92094|1|""|"0001000012320186"|6|292063|92082.3|"4000000025306054"|"3"|13.7|"Kings Wharf"|"The Quay"|"Exeter"|"Devon"|"EX2 4AN"|"N"|"Exeter District"|"01392438538"|""|""|""|""|"118 Information"|"01-DEC-2014"
48751965|"Silver Lion Jewellers"|"09460659"|292001.6|92794.8|1|""|"0001000012318040"|7|292006.5|92798.1|"4000000025321252"|"5"|5.9|"12"|"Gandy Street"|"Exeter"|"Devon"|"EX4 3LS"|"Y"|"Exeter District"|"01392495994"|"www.silverlion.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
48892191|"Nomadic Travel"|"09480694"|292018.8|92795.1|1|""|"0001000012318051"|6|292013|92790|"4000000025321252"|"5"|7.7|"25-26"|"Gandy Street"|"Exeter"|"Devon"|"EX4 3LS"|"Y"|"Exeter District"|"01392221199"|"www.nomadictravel.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
49010499|"Whittard of Chelsea"|"09470798"|291943.9|92641.8|1|""|"0001000012290370"|5|291965.5|92617.9|"4000000025460692"|"1"|32.3|"199"|"High Street"|"Exeter"|"Devon"|"EX4 3EB"|"Y"|"Exeter District"|"01392459537"|""|"Whittard of Chelsea"|""|""|"118 Information"|"01-DEC-2014"
48735940|"Upstage"|"09460656"|291928.2|92429.2|1|""|"0001000012291392"|6|291915.9|92439.5|"4000000025335886"|"5"|16|"2"|"Guinea Street"|"Exeter"|"Devon"|"EX1 1BS"|"Y"|"Exeter District"|"01392221750"|""|""|""|""|"118 Information"|"01-DEC-2014"
48870097|"Intersport Tony Pryce"|"09480686"|291933.4|92680.5|1|""|"0001000012290402"|6|291979|92630|"4000000025460692"|"1"|68|"24"|"Guildhall Shopping Centre"|"Exeter"|"Devon"|"EX4 3HW"|"Y"|"Exeter District"|"01392434774"|"www.intersport.co.uk"|"Intersport"|""|""|"118 Information"|"01-DEC-2014"
54587975|"Affinity Search"|"02050078"|292296.1|93018.2|1|""|"0001000012323986"|3|292311.1|93015.6|"4000000025336184"|"4"|15.3|"23"|"Longbrook Street"|"Exeter"|"Devon"|"EX4 6AB"|"Y"|"Exeter District"|"01392255700"|"www.affinitysearch.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
54626728|"Think I T"|"09480828"|292145.5|92086.4|1|""|"0001000012320158"|6|292134.7|92070.8|"4000000025306048"|"3"|19|"1"|"Colleton Crescent"|"Exeter"|"Devon"|"EX2 4DG"|"Y"|"Exeter District"|"01392435803"|"www.thinkit.uk.com"|""|""|""|"118 Information"|"01-DEC-2014"
54781916|"Colleton Chambers"|"02090154"|292088|92136.4|1|""|"0001000012320200"|5|292102|92136|"4000000025306048"|"3"|14|""|"Colleton Crescent"|"Exeter"|"Devon"|"EX2 4DG"|"Y"|"Exeter District"|"01392274898"|"www.colletonchambers.co.uk"|""|""|""|"118 Information"|"01-DEC-2014"
54735992|"Arbuthnot Latham"|"02090138"|292292|92563.8|1|""|"0001000012317711"|4|292309.2|92559|"4000000025321085"|"4"|17.9|"17"|"Southernhay West"|"Exeter"|"Devon"|"EX1 1PJ"|"Y"|"Exeter District"|"01392496061"|"www.arbuthnotlatham.co.uk"|"Arbuthnot Latham"|""|""|"118 Information"|"01-DEC-2014"
